rank,titulo,url,resumo,extract_html,thumbnail,originalimage,lang,dir,timestamp,description,coordinates,snippet,size,wordcount,termo,idioma
1,Abacate,https://pt.wikipedia.org/wiki/Abacate,"O abacate, também conhecido como pera-abacate, é o fruto comestível do abacateiro, uma árvore da família da Lauraceae nativa do México e da América do Sul, hoje extensamente cultivada em regiões tropicais e subtropicais, inclusive nas Ilhas Canárias, na Ilha da Madeira e na Sicília.","<p>O <b>abacate</b>, também conhecido como <b>pera-abacate</b>, é o fruto comestível do abacateiro, uma árvore da família da Lauraceae nativa do México e da América do Sul, hoje extensamente cultivada em regiões tropicais e subtropicais, inclusive nas Ilhas Canárias, na Ilha da Madeira e na Sicília.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Avocado_Hass_-_single_and_halved.jpg/330px-Avocado_Hass_-_single_and_halved.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c9/Avocado_Hass_-_single_and_halved.jpg,pt,ltr,2025-12-03T00:14:31Z,Fruto comestível do abacateiro,,"O <span class=""searchmatch"">abacate</span>, também conhecido como pera-<span class=""searchmatch"">abacate</span>, é o fruto comestível do abacateiro (nome científico: Persea americana), uma árvore da família da Lauraceae",15863,1549,abacate,pt
2,Persea americana,https://pt.wikipedia.org/wiki/Persea_americana,"O abacateiro, cujo fruto é o abacate, também designado como abacado, abacate, loiro-abacate e louro-abacate, é uma espécie da família Lauraceae, de nome científico Persea americana.","<p>O <b>abacateiro</b>, cujo fruto é o abacate, também designado como <b>abacado, abacate</b>, <b>loiro-abacate</b> e <b>louro-abacate</b>, é uma espécie da família Lauraceae, de nome científico <i>Persea americana</i>.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Persea_americana_fruit.JPG/330px-Persea_americana_fruit.JPG,https://upload.wikimedia.org/wikipedia/commons/7/78/Persea_americana_fruit.JPG,pt,ltr,2025-06-24T00:55:30Z,,,"O abacateiro, cujo fruto é o <span class=""searchmatch"">abacate</span>, também designado como abacado, <span class=""searchmatch"">abacate</span>, loiro-<span class=""searchmatch"">abacate</span> e louro-<span class=""searchmatch"">abacate</span>, é uma espécie da família Lauraceae, de nome",9944,1154,abacate,pt
3,Óleo de abacate,https://pt.wikipedia.org/wiki/%C3%93leo_de_abacate,"O óleo de abacate é um óleo comestível extraído da polpa do abacate, fruto da Persea americana. É usado como óleo comestível tanto cru quanto para cozinhar, onde é conhecido pelo seu alto ponto de fumaça. Também é usado para lubrificação e em cosméticos.","<p>O <b>óleo de abacate</b> é um óleo comestível extraído da polpa do abacate, fruto da <i>Persea americana</i>. É usado como óleo comestível tanto cru quanto para cozinhar, onde é conhecido pelo seu alto ponto de fumaça. Também é usado para lubrificação e em cosméticos.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/AvocadoOil.png/330px-AvocadoOil.png,https://upload.wikimedia.org/wikipedia/commons/a/aa/AvocadoOil.png,pt,ltr,2024-11-01T13:28:52Z,,,"O óleo de <span class=""searchmatch"">abacate</span> é um óleo comestível extraído da polpa do <span class=""searchmatch"">abacate</span>, fruto da Persea americana. É usado como óleo comestível tanto cru quanto para cozinhar",5671,680,abacate,pt
4,Guacamole,https://pt.wikipedia.org/wiki/Guacamole,"O guacamole é uma iguaria típica da culinária do México, servida com uma grande variedade de pratos e geralmente acompanhada com pico-de-gallo e nata azeda.","<p>O <b>guacamole</b> é uma iguaria típica da culinária do México, servida com uma grande variedade de pratos e geralmente acompanhada com pico-de-gallo e nata azeda.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Guacamole.jpg/330px-Guacamole.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5d/Guacamole.jpg,pt,ltr,2025-08-22T23:23:23Z,,,"geralmente acompanhada com pico-de-gallo e nata azeda. É basicamente um puré de <span class=""searchmatch"">abacate</span> bem temperado, que funciona como um complemento da salada, tendo sido exportado",1871,216,abacate,pt
5,Verde,https://pt.wikipedia.org/wiki/Verde,"O verde é a cor entre ciano e amarelo no espectro visível. É evocado pela luz constituída por comprimentos de onda, visíveis pelo olho humano, aproximadamente de 510 nm.","<p>O <b>verde</b> é a cor entre ciano e amarelo no espectro visível. É evocado pela luz constituída por comprimentos de onda, visíveis pelo olho humano, aproximadamente de 510 nm.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Color_icon_green.svg/langpt-330px-Color_icon_green.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Color_icon_green.svg/langpt-330px-Color_icon_green.svg.png,pt,ltr,2025-10-13T14:31:34Z,cor; cor primária aditiva; visível entre azul e amarelo,,"a era Kadafi Bandeira que representa a língua esperanto. Frutos como o <span class=""searchmatch"">abacate</span>. A grama. O sabor menta. A coroa do abacaxi Maçã verde Verde era a cor",7781,581,abacate,pt
6,Venezuela,https://pt.wikipedia.org/wiki/Venezuela,"Venezuela, oficialmente República Bolivariana da Venezuela, é um país da América localizado na parte norte da América do Sul, constituído por uma parte continental e inúmeras pequenas ilhas no Mar do Caribe, cuja capital e maior aglomeração urbana é a cidade de Caracas. Possui uma área de 916 445 km², sendo o 32.º maior país no mundo em território. Suas fronteiras são delimitadas a norte com o Mar do Caribe, a oeste com a Colômbia, ao sul com o Brasil e ao leste com a Guiana, com quem mantém disputas territoriais. Através das suas zonas marítimas, tem soberania sobre 71 295 km² de mar territorial, 22 224 km² na zona contígua, 471 507 km² do Mar do Caribe e o Oceano Atlântico sob o conceito de zona econômica exclusiva, e 99 889 km² de plataforma continental. Esta área marinha faz fronteira com treze estados soberanos, sendo Trinidad e Tobago, Granada, São Vicente e Granadinas, Santa Lúcia e Barbados alguns deles. Sua população é estimada em 28 067 000 habitantes e a capital nacional é Caracas.","<p><b>Venezuela</b>, oficialmente <b>República Bolivariana da Venezuela</b>, é um país da América localizado na parte norte da América do Sul, constituído por uma parte continental e inúmeras pequenas ilhas no Mar do Caribe, cuja capital e maior aglomeração urbana é a cidade de Caracas. Possui uma área de 916 445 km², sendo o 32.º maior país no mundo em território. Suas fronteiras são delimitadas a norte com o Mar do Caribe, a oeste com a Colômbia, ao sul com o Brasil e ao leste com a Guiana, com quem mantém disputas territoriais. Através das suas zonas marítimas, tem soberania sobre 71 295 km² de mar territorial, 22 224 km² na zona contígua, 471 507 km² do Mar do Caribe e o Oceano Atlântico sob o conceito de zona econômica exclusiva, e 99 889 km² de plataforma continental. Esta área marinha faz fronteira com treze estados soberanos, sendo Trinidad e Tobago, Granada, São Vicente e Granadinas, Santa Lúcia e Barbados alguns deles. Sua população é estimada em 28 067 000 habitantes e a capital nacional é Caracas.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Flag_of_Venezuela.svg/langpt-330px-Flag_of_Venezuela.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Flag_of_Venezuela.svg/langpt-960px-Flag_of_Venezuela.svg.png,pt,ltr,2025-12-10T00:23:41Z,país na América do Sul,,"toneladas de tangerina; 153 mil toneladas de coco; 135 mil toneladas de <span class=""searchmatch"">abacate</span>; 102 mil toneladas de manga (incluindo mangostim e goiaba); 56 mil toneladas",224893,23861,abacate,pt
7,Peru,https://pt.wikipedia.org/wiki/Peru,"Peru, oficialmente chamado de República do Peru, é um país sul-americano limitado ao norte pelo Equador e pela Colômbia, a leste pelo Brasil e pela Bolívia e ao sul pelo Chile. O seu litoral, a oeste, é banhado pelo oceano Pacífico. Sua geografia é variada, exibindo desde planícies áridas na costa do Pacífico, aos picos nevados dos Andes e à floresta amazônica, características que proporcionam a este país diversos recursos naturais.","<p><b>Peru</b>, oficialmente chamado de <b>República do Peru</b>, é um país sul-americano limitado ao norte pelo Equador e pela Colômbia, a leste pelo Brasil e pela Bolívia e ao sul pelo Chile. O seu litoral, a oeste, é banhado pelo oceano Pacífico. Sua geografia é variada, exibindo desde planícies áridas na costa do Pacífico, aos picos nevados dos Andes e à floresta amazônica, características que proporcionam a este país diversos recursos naturais.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Peru.svg/langpt-330px-Flag_of_Peru.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Peru.svg/langpt-960px-Flag_of_Peru.svg.png,pt,ltr,2025-11-06T13:45:51Z,país na América do Sul,,"das commodities. Na agricultura, o Peru é um dos 5 maiores produtores de <span class=""searchmatch"">abacate</span>, mirtilo, alcachofra e aspargos, um dos 10 maiores produtores mundiais",108349,11170,abacate,pt
8,São Paulo (estado),https://pt.wikipedia.org/wiki/S%C3%A3o_Paulo_(estado),"São Paulo é uma das 27 unidades federativas do Brasil. Está situado na Região Sudeste e tem por limites os estados de Minas Gerais a norte e nordeste, Paraná a sul, Rio de Janeiro a leste e Mato Grosso do Sul a oeste, além do Oceano Atlântico a sudeste. É dividido em 645 municípios e sua área total é de 248 219,481 km², o que equivale a 2,9% da superfície do Brasil, sendo pouco maior que o Reino Unido. Sua capital é o município de São Paulo e seu atual governador é Tarcísio de Freitas.","<p><b>São Paulo</b> é uma das 27 unidades federativas do Brasil. Está situado na Região Sudeste e tem por limites os estados de Minas Gerais a norte e nordeste, Paraná a sul, Rio de Janeiro a leste e Mato Grosso do Sul a oeste, além do Oceano Atlântico a sudeste. É dividido em 645 municípios e sua área total é de 248 219,481 km², o que equivale a 2,9% da superfície do Brasil, sendo pouco maior que o Reino Unido. Sua capital é o município de São Paulo e seu atual governador é Tarcísio de Freitas.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Bandeira_do_estado_de_S%C3%A3o_Paulo.svg/langpt-330px-Bandeira_do_estado_de_S%C3%A3o_Paulo.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Bandeira_do_estado_de_S%C3%A3o_Paulo.svg/langpt-960px-Bandeira_do_estado_de_S%C3%A3o_Paulo.svg.png,pt,ltr,2025-12-04T00:37:07Z,unidade federativa do Brasil,"{'lat': -21.82972, 'lon': -49.2075}","tomate, trigo e triticale. Já na lavoura permanente, produzem-se <span class=""searchmatch"">abacate</span>, azeitona, <span class=""searchmatch"">abacate</span>, banana, borracha, cacau, café, caqui, chá-da-Índia, coco-da-baía",204684,19930,abacate,pt
9,América do Sul,https://pt.wikipedia.org/wiki/Am%C3%A9rica_do_Sul,"América do Sul é um continente que compreende a porção meridional da América. Também é considerada um subcontinente do continente americano. A sua extensão é de 17 819 100 km², abrangendo 12% da superfície terrestre e 6% da população mundial. Une-se à América Central a norte pelo istmo do Panamá e se separa da Antártida ao sul pelo estreito de Drake. Tem uma extensão de 7 500 km desde o mar do Caribe até ao cabo Horn, ponto extremo sul do continente. Os outros pontos extremos da América do Sul são: ao norte a Punta Gallinas, na Colômbia, ao leste a Ponta do Seixas, no Brasil, e a oeste a Punta Pariñas, no Peru. Seus limites naturais são: ao norte com o mar do Caribe; a leste, nordeste e sudeste com o oceano Atlântico; e a oeste com o oceano Pacífico. O Brasil representa atualmente a metade da população e produto econômico desta região.","<p><b>América do Sul</b> é um continente que compreende a porção meridional da América. Também é considerada um subcontinente do continente americano. A sua extensão é de 17 819 100 km², abrangendo 12% da superfície terrestre e 6% da população mundial. Une-se à América Central a norte pelo istmo do Panamá e se separa da Antártida ao sul pelo estreito de Drake. Tem uma extensão de 7 500 km desde o mar do Caribe até ao cabo Horn, ponto extremo sul do continente. Os outros pontos extremos da América do Sul são: ao norte a Punta Gallinas, na Colômbia, ao leste a Ponta do Seixas, no Brasil, e a oeste a Punta Pariñas, no Peru. Seus limites naturais são: ao norte com o mar do Caribe; a leste, nordeste e sudeste com o oceano Atlântico; e a oeste com o oceano Pacífico. O Brasil representa atualmente a metade da população e produto econômico desta região.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/South_America_%28orthographic_projection%29.svg/langpt-330px-South_America_%28orthographic_projection%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/South_America_%28orthographic_projection%29.svg/langpt-960px-South_America_%28orthographic_projection%29.svg.png,pt,ltr,2025-12-07T21:26:00Z,subcontinente que compreende a porção meridional da América,,"produtores mundiais de <span class=""searchmatch"">abacate</span> e um dos 10 maiores produtores mundiais de banana e abacaxi. o Peru é um dos 5 maiores produtores de <span class=""searchmatch"">abacate</span> e mirtilo e um dos",164934,17682,abacate,pt
10,Fruta,https://pt.wikipedia.org/wiki/Fruta,"Fruta é um conceito culinário, por oposição ao conceito de legume; um termo popular que, em geral, compreende os frutos e pseudofrutos comestíveis, de sabor adocicado e que são comercializados, ainda que haja autores que discordem desta definição, por ser, em suas opiniões, demasiado simplista. Há quem considere que alguns frutos, inegavelmente considerados frutas, não tem o sabor realmente adocicado, tais como o limão, o abacate e o tamarindo, dentre outros. Já alguns, como o tomate e o jiló, são considerados frutos, e não frutas.","<p><b>Fruta</b> é um conceito culinário, por oposição ao conceito de legume; um termo popular que, em geral, compreende os frutos e pseudofrutos comestíveis, de sabor adocicado e que são comercializados, ainda que haja autores que discordem desta definição, por ser, em suas opiniões, demasiado simplista. Há quem considere que alguns frutos, inegavelmente considerados frutas, não tem o sabor realmente adocicado, tais como o limão, o abacate e o tamarindo, dentre outros. Já alguns, como o tomate e o jiló, são considerados frutos, e não frutas.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Berries_in_Berlin.jpg/330px-Berries_in_Berlin.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a2/Berries_in_Berlin.jpg,pt,ltr,2025-07-11T07:25:15Z,alimento,,"considerados frutas, não tem o sabor realmente adocicado, tais como o limão, o <span class=""searchmatch"">abacate</span> e o tamarindo, dentre outros. Já alguns, como o tomate e o jiló, são considerados",2294,177,abacate,pt
