rank,titulo,url,url_mobile,resumo,extract_html,thumbnail,thumbnail_width,thumbnail_height,originalimage,originalimage_width,originalimage_height,lang,dir,timestamp,description,coordinates,snippet,size,wordcount,titlesnippet,sectiontitle,termo,idioma
1,Copa do Brasil de Futebol de 2026,https://pt.wikipedia.org/wiki/Copa_do_Brasil_de_Futebol_de_2026,https://pt.wikipedia.org/wiki/Copa_do_Brasil_de_Futebol_de_2026,"A Copa do Brasil de 2026 será a 38.ª edição deste torneio de futebol realizado pela Confederação Brasileira de Futebol (CBF), iniciando-se no dia 18 de fevereiro. No total, 126 vagas serão distribuídas, sendo 20 vagas para clubes classificados à Série A de 2026; 4 vagas para clubes campeões em 2025 da Copa do Nordeste, Copa Verde, Série C e Série D; e 102 vagas para clubes classificados nas competições estaduais de 2025, excluídos os anteriores, considerando o Ranking Nacional de Federações (RNF) de 2026. O clube campeão garantirá vaga na fase de grupos da Copa Libertadores da América de 2027 e na Supercopa Rei de 2027.","<p>A <b>Copa do Brasil de 2026</b> será a 38.ª edição deste torneio de futebol realizado pela Confederação Brasileira de Futebol (CBF), iniciando-se no dia 18 de fevereiro. No total, 126 vagas serão distribuídas, sendo 20 vagas para clubes classificados à Série A de 2026; 4 vagas para clubes campeões em 2025 da Copa do Nordeste, Copa Verde, Série C e Série D; e 102 vagas para clubes classificados nas competições estaduais de 2025, excluídos os anteriores, considerando o Ranking Nacional de Federações (RNF) de 2026. O clube campeão garantirá vaga na fase de grupos da Copa Libertadores da América de 2027 e na Supercopa Rei de 2027.</p>",https://upload.wikimedia.org/wikipedia/pt/thumb/3/30/Copa_Betano_do_Brasil.jpg/330px-Copa_Betano_do_Brasil.jpg,320,320,https://upload.wikimedia.org/wikipedia/pt/3/30/Copa_Betano_do_Brasil.jpg,400,400,pt,ltr,2025-12-08T00:47:26Z,38.ª edição da competição brasileira de futebol,,"A Copa do Brasil de <span class=""searchmatch"">2026</span> (também denominada Copa Betano do Brasil de <span class=""searchmatch"">2026</span>) será a 38.ª edição deste torneio de futebol realizado pela Confederação Brasileira",66730,834,,,natal 2026,pt
2,Campeonato Potiguar de Futebol de 2025,https://pt.wikipedia.org/wiki/Campeonato_Potiguar_de_Futebol_de_2025,https://pt.wikipedia.org/wiki/Campeonato_Potiguar_de_Futebol_de_2025,"O Campeonato Potiguar de 2025 - Série A foi a 106.ª edição desta competição futebolística organizada pela Federação Norte-Rio-Grandense de Futebol (FNF). Iniciou-se em 11 de janeiro e terminou em 29 de março, premiando os clubes com vagas para a Copa do Brasil de 2026 e para a Série D de 2026.","<p>O <b>Campeonato Potiguar de 2025 - Série A</b> foi a 106.ª edição desta competição futebolística organizada pela Federação Norte-Rio-Grandense de Futebol (FNF). Iniciou-se em 11 de janeiro e terminou em 29 de março, premiando os clubes com vagas para a Copa do Brasil de 2026 e para a Série D de 2026.</p>",https://upload.wikimedia.org/wikipedia/pt/thumb/9/9b/Potiguar_2025_logo.png/330px-Potiguar_2025_logo.png,320,273,https://upload.wikimedia.org/wikipedia/pt/9/9b/Potiguar_2025_logo.png,587,500,pt,ltr,2025-04-16T22:21:56Z,,,"março, premiando os clubes com vagas para a Copa do Brasil de <span class=""searchmatch"">2026</span> e para a Série D de <span class=""searchmatch"">2026</span>. A competição contou com a estreia do recém promovido da Segunda",31580,1050,,,natal 2026,pt
3,Governo Lula (2023–presente),https://pt.wikipedia.org/wiki/Governo_Lula_(2023%E2%80%93presente),https://pt.wikipedia.org/wiki/Governo_Lula_(2023%E2%80%93presente),"O terceiro governo Lula, também chamado de governo Lula 3, é o período em curso da história política brasileira, em que Luiz Inácio Lula da Silva exerce a presidência da República desde 1.º de janeiro de 2023 em seu retorno ao cargo para um terceiro mandato após ter sido presidente de 2003 a 2011. Lula, do Partido dos Trabalhadores, foi escolhido por voto popular direto na eleição presidencial de 2022, derrotando o então candidato à reeleição Jair Bolsonaro.","<p>O terceiro <b>governo Lula</b>, também chamado de <b>governo Lula 3</b>, é o período em curso da história política brasileira, em que Luiz Inácio Lula da Silva exerce a presidência da República desde 1.º de janeiro de 2023 em seu retorno ao cargo para um terceiro mandato após ter sido presidente de 2003 a 2011. Lula, do Partido dos Trabalhadores, foi escolhido por voto popular direto na eleição presidencial de 2022, derrotando o então candidato à reeleição Jair Bolsonaro.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Logo_do_Governo_do_Brasil_%28Presidente_Luiz_In%C3%A1cio_Lula_da_Silva_-_Setembro_de_2025%29.png/330px-Logo_do_Governo_do_Brasil_%28Presidente_Luiz_In%C3%A1cio_Lula_da_Silva_-_Setembro_de_2025%29.png,320,154,https://upload.wikimedia.org/wikipedia/commons/d/df/Logo_do_Governo_do_Brasil_%28Presidente_Luiz_In%C3%A1cio_Lula_da_Silva_-_Setembro_de_2025%29.png,1066,513,pt,ltr,2025-12-10T08:49:58Z,governo do 39º presidente do Brasil,,"Orçamento da Câmara disse que a &quot;PEC da Transição eleva dívida em 10 pontos até <span class=""searchmatch"">2026</span>&quot;. Entretanto, partidos do chamado centrão sinalizaram que a licença para",423716,42827,,,natal 2026,pt
4,Campeonato Brasileiro de Futebol de 2025 - Série C,https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2025_-_S%C3%A9rie_C,https://pt.wikipedia.org/wiki/Campeonato_Brasileiro_de_Futebol_de_2025_-_S%C3%A9rie_C,"A Série C do Campeonato Brasileiro de Futebol de 2025 foi a 35.ª edição da competição equivalente à terceira divisão do futebol do Brasil. Disputada por vinte clubes, os quatro mais bem colocados ganharam acesso à Série B de 2026 e os quatro últimos colocados na primeira fase foram rebaixados à Série D de 2026. O campeão ingressará diretamente na terceira fase da Copa do Brasil de 2026.","<p>A <b>Série C do Campeonato Brasileiro de Futebol de 2025</b> foi a 35.ª edição da competição equivalente à terceira divisão do futebol do Brasil. Disputada por vinte clubes, os quatro mais bem colocados ganharam acesso à Série B de 2026 e os quatro últimos colocados na primeira fase foram rebaixados à Série D de 2026. O campeão ingressará diretamente na terceira fase da Copa do Brasil de 2026.</p>",https://upload.wikimedia.org/wikipedia/pt/thumb/b/ba/Campeonato_Brasileiro_de_Futebol_de_2022_-_S%C3%A9rie_C.png/330px-Campeonato_Brasileiro_de_Futebol_de_2022_-_S%C3%A9rie_C.png,320,367,https://upload.wikimedia.org/wikipedia/pt/b/ba/Campeonato_Brasileiro_de_Futebol_de_2022_-_S%C3%A9rie_C.png,432,496,pt,ltr,2025-10-28T03:04:02Z,,,"colocados ganharam acesso à Série B de <span class=""searchmatch"">2026</span> e os quatro últimos colocados na primeira fase foram rebaixados à Série D de <span class=""searchmatch"">2026</span>. O campeão ingressará diretamente",91475,3315,,,natal 2026,pt
5,Sambas de Enredo Rio Carnaval 2026,https://pt.wikipedia.org/wiki/Sambas_de_Enredo_Rio_Carnaval_2026,https://pt.wikipedia.org/wiki/Sambas_de_Enredo_Rio_Carnaval_2026,"Sambas de Enredo Rio Carnaval 2026 é um álbum com os sambas de enredo das escolas de samba do Grupo Especial do Rio de Janeiro para o carnaval do ano de 2026. O álbum tem produção fonográfica da Editora Musical Escola de Samba (Edimusa) e selo musical da Gravadora Escola de Samba (Gravasamba). Produzido por Alceu Maia, o álbum foi gravado no Estúdio Century, na Zona Oeste do Rio de Janeiro, durante os meses de agosto, setembro e outubro de 2025. Diferente dos anos anteriores, os sambas foram lançados nas principais plataformas digitais de áudio separadamente, em forma de single, conforme foram sendo escolhidos e gravados pelas escolas. O primeiro samba foi disponibilizado em 15 de setembro de 2025. O álbum completo, com todos os doze sambas, foi lançado em 1 de novembro do mesmo ano.","<p><i><b>Sambas de Enredo Rio Carnaval 2026</b></i> é um álbum com os sambas de enredo das escolas de samba do Grupo Especial do Rio de Janeiro para o carnaval do ano de 2026. O álbum tem produção fonográfica da Editora Musical Escola de Samba (Edimusa) e selo musical da Gravadora Escola de Samba (Gravasamba). Produzido por Alceu Maia, o álbum foi gravado no Estúdio Century, na Zona Oeste do Rio de Janeiro, durante os meses de agosto, setembro e outubro de 2025. Diferente dos anos anteriores, os sambas foram lançados nas principais plataformas digitais de áudio separadamente, em forma de <i>single</i>, conforme foram sendo escolhidos e gravados pelas escolas. O primeiro samba foi disponibilizado em 15 de setembro de 2025. O álbum completo, com todos os doze sambas, foi lançado em 1 de novembro do mesmo ano.</p>",https://upload.wikimedia.org/wikipedia/pt/thumb/9/9b/Capa_Sambas_de_Enredo_Rio_Carnaval_2026.png/330px-Capa_Sambas_de_Enredo_Rio_Carnaval_2026.png,320,320,https://upload.wikimedia.org/wikipedia/pt/9/9b/Capa_Sambas_de_Enredo_Rio_Carnaval_2026.png,500,500,pt,ltr,2025-11-21T15:33:20Z,,,"Rio Carnaval <span class=""searchmatch"">2026</span> é um álbum com os sambas de enredo das escolas de samba do Grupo Especial do Rio de Janeiro para o carnaval do ano de <span class=""searchmatch"">2026</span>. O álbum tem",73353,6619,,,natal 2026,pt
6,ABC Futebol Clube,https://pt.wikipedia.org/wiki/ABC_Futebol_Clube,https://pt.wikipedia.org/wiki/ABC_Futebol_Clube,"ABC Futebol Clube é uma associação esportiva brasileira sediadas em Natal, no estado do Rio Grande do Norte.
Foi fundada como clube de futebol por um grupo de jovens natalenses no dia 29 de junho de 1915, no bairro da Ribeira. O clube potiguar disputou 14 vezes a elite do futebol nacional, é campeão brasileiro da Série C. Atualmente, o elefante possui 48 títulos do Campeonato Potiguar.","<p><b>ABC Futebol Clube</b> é uma associação esportiva brasileira sediadas em Natal, no estado do Rio Grande do Norte.
Foi fundada como clube de futebol por um grupo de jovens natalenses no dia 29 de junho de 1915, no bairro da Ribeira. O clube potiguar disputou 14 vezes a elite do futebol nacional, é campeão brasileiro da Série C. Atualmente, o <i>elefante</i> possui 48 títulos do Campeonato Potiguar.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/ABC_FC_%28E%29_-_RN.svg/langpt-330px-ABC_FC_%28E%29_-_RN.svg.png,320,432,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/ABC_FC_%28E%29_-_RN.svg/langpt-250px-ABC_FC_%28E%29_-_RN.svg.png,222,300,pt,ltr,2025-12-05T00:34:23Z,"clube de futebol sediado em Natal, Rio Grande do Norte",,"para a Série D de <span class=""searchmatch"">2026</span> na última rodada, quando acabou sendo derrotada por 1 a 0 num confronto direto contra o Itabaiana em <span class=""searchmatch"">Natal</span>. De acordo com o estatuto",79279,7129,,,natal 2026,pt
7,O Agente Secreto,https://pt.wikipedia.org/wiki/O_Agente_Secreto,https://pt.wikipedia.org/wiki/O_Agente_Secreto,"O Agente Secreto é um filme neo-noir brasileiro com coprodução francesa, neerlandesa e alemã de drama, suspense e thriller político de 2025, escrito e dirigido por Kleber Mendonça Filho. Produzido pela CinemaScópio (Brasil), o filme teve sua estreia mundial no Festival de Cannes em 18 de maio de 2025, onde competiu pela Palma de Ouro. Na ocasião, venceu os prêmios de Interpretação Masculina para Wagner Moura e Melhor Diretor para Kleber Mendonça Filho, além do Prêmio FIPRESCI da competição oficial e o Prix des Cinémas d’Art et Essai, concedido pela Associação Francesa de Cinemas de Arte (AFCAE).","<p><i><b>O Agente Secreto</b></i> é um filme neo-noir brasileiro com coprodução francesa, neerlandesa e alemã de drama, suspense e thriller político de 2025, escrito e dirigido por Kleber Mendonça Filho. Produzido pela CinemaScópio (Brasil), o filme teve sua estreia mundial no Festival de Cannes em 18 de maio de 2025, onde competiu pela Palma de Ouro. Na ocasião, venceu os prêmios de Interpretação Masculina para Wagner Moura e Melhor Diretor para Kleber Mendonça Filho, além do Prêmio FIPRESCI da competição oficial e o Prix des Cinémas d’Art et Essai, concedido pela Associação Francesa de Cinemas de Arte (AFCAE).</p>",https://upload.wikimedia.org/wikipedia/pt/thumb/6/60/O_Agente_Secreto_%28Cartaz_brasileiro%29.jpg/330px-O_Agente_Secreto_%28Cartaz_brasileiro%29.jpg,320,469,https://upload.wikimedia.org/wikipedia/pt/6/60/O_Agente_Secreto_%28Cartaz_brasileiro%29.jpg,341,500,pt,ltr,2025-12-12T02:48:18Z,filme de 2025 dirigido por Kleber Mendonça Filho,,"Gabriel Leone, Alice Carvalho, Udo Kier e Thomás Aquino. No Globo de Ouro de <span class=""searchmatch"">2026</span>, foi indicado em três categorias, Melhor Filme em Língua Não Inglesa, Melhor",60025,5068,,,natal 2026,pt
8,Temporada da NBA de 2025-26,https://pt.wikipedia.org/wiki/Temporada_da_NBA_de_2025-26,https://pt.wikipedia.org/wiki/Temporada_da_NBA_de_2025-26,"A temporada da NBA de 2025–26 será a 80ª edição da National Basketball Association (NBA). A temporada regular está prevista para começar em 21 de outubro de 2025 e terminar em abril de 2026. A terceira edição da Copa NBA ocorrerá em novembro e dezembro de 2025. O All-Star Game da NBA de 2026 está agendado para 15 de fevereiro de 2026, no Intuit Dome, em Inglewood, Califórnia. O torneio de repescagem será realizado em abril de 2026, seguido imediatamente pelos playoffs, que culminarão nas Finais da NBA em junho.","<p>A <b>temporada da NBA de 2025–26</b> será a 80ª edição da National Basketball Association (NBA). A temporada regular está prevista para começar em 21 de outubro de 2025 e terminar em abril de 2026. A terceira edição da Copa NBA ocorrerá em novembro e dezembro de 2025. O All-Star Game da NBA de 2026 está agendado para 15 de fevereiro de 2026, no Intuit Dome, em Inglewood, Califórnia. O torneio de repescagem será realizado em abril de 2026, seguido imediatamente pelos playoffs, que culminarão nas Finais da NBA em junho.</p>",,0,0,,0,0,pt,ltr,2025-11-28T22:09:49Z,,,"terminar em abril de <span class=""searchmatch"">2026</span>. A terceira edição da Copa NBA ocorrerá em novembro e dezembro de 2025. O All-Star Game da NBA de <span class=""searchmatch"">2026</span> está agendado para 15",31562,2465,,,natal 2026,pt
9,Copa do Brasil de Futebol de 2025,https://pt.wikipedia.org/wiki/Copa_do_Brasil_de_Futebol_de_2025,https://pt.wikipedia.org/wiki/Copa_do_Brasil_de_Futebol_de_2025,"A Copa do Brasil de 2025 é a 37.ª edição deste torneio de futebol realizado pela Confederação Brasileira de Futebol (CBF), iniciada no dia 18 de fevereiro. No total, 80 vagas foram distribuídas nos campeonatos estaduais e 12 vagas foram alocadas através dos campeões regionais, campeões da Copa do Brasil e Série B, clubes classificados à Copa Libertadores da América de 2025 e uma vaga via Série A. O clube campeão garantirá vaga na fase de grupos da Copa Libertadores da América de 2026 e na Supercopa Rei de 2026.","<p>A <b>Copa do Brasil de 2025</b> é a 37.ª edição deste torneio de futebol realizado pela Confederação Brasileira de Futebol (CBF), iniciada no dia 18 de fevereiro. No total, 80 vagas foram distribuídas nos campeonatos estaduais e 12 vagas foram alocadas através dos campeões regionais, campeões da Copa do Brasil e Série B, clubes classificados à Copa Libertadores da América de 2025 e uma vaga via Série A. O clube campeão garantirá vaga na fase de grupos da Copa Libertadores da América de 2026 e na Supercopa Rei de 2026.</p>",https://upload.wikimedia.org/wikipedia/pt/thumb/3/30/Copa_Betano_do_Brasil.jpg/330px-Copa_Betano_do_Brasil.jpg,320,320,https://upload.wikimedia.org/wikipedia/pt/3/30/Copa_Betano_do_Brasil.jpg,400,400,pt,ltr,2025-12-12T03:18:43Z,37ª edição da competição brasileira de futebol,,"vaga na fase de grupos da Copa Libertadores da América de <span class=""searchmatch"">2026</span> e na Supercopa Rei de <span class=""searchmatch"">2026</span>. Um total de 92 equipes das 27 federações estaduais do Brasil",72385,2026,,,natal 2026,pt
10,Lista dos campeões estaduais de futebol do Brasil em 2025,https://pt.wikipedia.org/wiki/Lista_dos_campe%C3%B5es_estaduais_de_futebol_do_Brasil_em_2025,https://pt.wikipedia.org/wiki/Lista_dos_campe%C3%B5es_estaduais_de_futebol_do_Brasil_em_2025,A lista a seguir traz dados acerca dos campeonatos estaduais de futebol realizados no Brasil em 2025.,<p>A lista a seguir traz dados acerca dos <b>campeonatos estaduais de futebol realizados no Brasil em 2025</b>.</p>,,0,0,,0,0,pt,ltr,2025-12-07T20:57:57Z,,,"do Brasil <span class=""searchmatch"">2026</span>: times classificados para a Copa do Brasil em sua edição de <span class=""searchmatch"">2026</span> pelo Campeonato Estadual. [Ordem alfabética] Série D <span class=""searchmatch"">2026</span>: times classificados",52555,1205,,,natal 2026,pt
