Category: All categories
"contrato: (2023, Brazil)"

TOP
Contract,100
Rent,12
Model,10
Labor,8
Rescission,8
Sales,7
Contract of sale,6
Employment contract,6
Real Estate,6
Social contract,5
Service,5
Law,5
Society,5
Work for hire,4
Law,4
Probation,3
Fine,3
Time limit,3
Purchasing,3
Contractual term,2
Consolidation of Labor Laws,2
Funding,2
Breach of contract,2
Enterprise,1

RISING
Payday loan,Breakout
lessee,Breakout
Breach of contract,"+2,050%"
Obligatory,"+1,700%"
Enterprise,+300%
apprentice,+170%
Guarantee,+160%
Concession,+140%
expected,+130%
Administrative law,+100%
guarantor,+100%
Service,+50%

