engine,rank,title,link,snippet,regiao,termo,tentativa
duckduckgo,1,"Felis catus - Wikipedia, la enciclopedia libre",https://es.wikipedia.org/wiki/Felis_catus,"Los cascabeles usados para espantar la presa del gato dan lugar a la expresión «ponerle el cascabel al gato », refiriéndose a la fuerza de los más débiles para doblegar la voluntad de alguien más poderoso.",br,gato,1
duckduckgo,2,"Gato Cat Breed Info: Pictures, Temperament & Traits - Catster",https://www.catster.com/cat-breeds/Gato/,"Jun 19, 2025 · The Gato is very affectionate but tends to understand and respond to the energy they are around. The breed influences that make up the Gato include some spunky cats full of personality.",br,gato,1
duckduckgo,3,Gato | Spanish to English Translation - SpanishDictionary.com,https://www.spanishdict.com/translate/Gato,Translate Gato . See 8 authoritative translations of Gato in English with example sentences and audio pronunciations.,br,gato,1
duckduckgo,4,GATO translation in English | Spanish-English Dictionary ...,https://dictionary.reverso.net/spanish-english/gato,"Understand the exact meaning of "" gato "" and learn how to use it correctly in any context. Examples come from millions of authentic texts: movie dialogues, news articles, official documents, and more.",br,gato,1
duckduckgo,5,"gato - Wiktionary, the free dictionary",https://en.wiktionary.org/wiki/gato,"1 day ago · From Old Galician-Portuguese gato , from Late Latin cattum; compare also catta, possibly of ultimately Afroasiatic origin. See the etymology at cat for further details.",br,gato,1
duckduckgo,6,GATO - Translation in English - bab.la,https://en.bab.la/dictionary/spanish-english/gato,"Find all translations of gato in English like jack, lifting jack, maid and many others.",br,gato,1
duckduckgo,7,20 Things You Didn't Know About Gato Cats - Kittentoob,https://kittentoob.com/gato-cats/,"Apr 8, 2025 · Gato cats are actually a combination of the Siamese cat breed, the Himalayan breed, and the Egyptian Mau. Although not much is known about the history of the Gato , we do know that it takes various traits from all three exotic cat breeds.",br,gato,1
duckduckgo,8,"900+ ideias de GATO BRANCO em 2025 | gato branco, gatos ...",https://br.pinterest.com/0rminda/gato-branco/,"Salve seus favoritos na sua pasta do Pinterest! | gato branco, gatos , gatinhos . GATO BRANCO. 3.210 Pins. · 4 meses.",br,gato,1
duckduckgo,9,Como Identificar O Gato Fêmea E Macho Filhote | TikTok,https://www.tiktok.com/discover/como-identificar-o-gato-fêmea-e-macho-filhote,Sabe identificar?#filhotegato #lovecats #rotinavet #dicasveterinárias Como Identificar o Sexo de um Gato Filhote.,br,gato,1
duckduckgo,10,Gato,https://www.folkloredelnorte.com.ar/gato.htm,"Existen distintos tipos de gatos : Gato cuyano, Gato en cuarto (se baila de 2 parejas), Gato encadenado, Gato patriótico, Gato con relaciones, Gato polqueado.",br,gato,1
duckduckgo,11,"Gato Nebelung: Conselhos, cuidados e características| Kiwoko",https://www.kiwoko.pt/blog/ficha-raca-gato-nebelung/,Origem: Mistura de um gato doméstico com um gato azul russo. Esperança média de vida: 15 - 18 anos.Perfeito para: Ser um gato familiar e ser criado com crianças e outros animais.,br,gato,1
duckduckgo,12,Gato Flor Gatinho - Foto gratuita no Pixabay,https://pixabay.com/pt/photos/gato-flor-gatinho-pedra-2536662/,"Imagem: Gato , Flor, Gatinho . De utilização gratuita. Like my photo?Imagens gratuitas relacionadas. Gato , Animal Jovem, Gatinho , Natureza. 3K. susannp4.",br,gato,1
duckduckgo,13,"Gato na piscina: sim, é isso possível, porém muito perigoso",https://meusanimais.com.br/seu-gato-pode-tomar-banho-de-piscina/,"Permitir um gato na piscina pode ser perigoso? A maioria dos gatos , da mesma forma que acontece com praticamente todos os mamíferos, nadam por puro instinto.",br,gato,1
duckduckgo,14,Com quantos anos um gato fica idoso? Veja a diferença entre as idades.,https://www.catslondrina.com.br/doencas/com-quantos-anos-um-gato-fica-idoso-veja-a-diferenca-entre-gatos-idosos-maduros-e-geriatras/,"O gato idoso terá um novo ritmo de vida e interação com você e sua família, pode requerer mais cuidados diários, mas continuará a trazer alegria e amor para sua casa!",br,gato,1
duckduckgo,15,"O que é feito de Tiago Dores, o ' Gato Fedorento' que ficou... - FLASH!",https://www.flash.pt/the-mag/detalhe/o-que-e-feito-de-tiago-dores-o-gato-fedorento-que-ficou-pelo-caminho-humorista-virou-a-direita-deixou-a-televisao-e-distanciou-se-dos-colegas,Os Gato Fedorento estabeleceram-se em 2003 com um estilo muito próprio e um registo diferente do que até então era feito por cá.,br,gato,1
duckduckgo,16,Quanto tempo um GATO pode FICAR SEM COMER?,https://www.peritoanimal.com.br/quanto-tempo-um-gato-pode-ficar-sem-comer-24311.html,"Mas isto se aplica a gatos adultos saudáveis, pois quanto tempo um gato pode ficar sem comida também dependerá da idade do gato e de seu estado inicial de saúde.",br,gato,1
duckduckgo,17,Meu gato me arranhou! Entenda o que fazer - Veterinária Pet Pillow,https://petpillow.com.br/meu-gato-me-arranhou-entenda-o-que-fazer/,"Depois de algumas horas de muito carinho e brincadeiras, meu gato me arranhou! Primeiro, não precisa se preocupar. Ok? Nada mais que o normal.",br,gato,1
