rank,titulo,url,url_mobile,resumo,extract_html,thumbnail,thumbnail_width,thumbnail_height,originalimage,originalimage_width,originalimage_height,lang,dir,timestamp,description,coordinates,snippet,size,wordcount,titlesnippet,sectiontitle,termo,idioma
1,Bola,https://pt.wikipedia.org/wiki/Bola,https://pt.wikipedia.org/wiki/Bola,"A bola é um objeto utilizado para lazer de uma pessoa e em diversos desportos. A bola é geralmente esférica, mas pode ter outras formas, como a oblonga ou a quadrada. A bola pode ser oca e repleta de ar, como a bola de futebol e basquetebol, ou sólida, como a bola de bilhar ou de golfe. Na maioria dos jogos, as jogadas acontecem em função do estado da bola sendo acertada, chutada ou arremessada pelos jogadores.","<p>A <b>bola</b> é um objeto utilizado para lazer de uma pessoa e em diversos desportos. A bola é geralmente esférica, mas pode ter outras formas, como a oblonga ou a quadrada. A bola pode ser oca e repleta de ar, como a bola de futebol e basquetebol, ou sólida, como a bola de bilhar ou de golfe. Na maioria dos jogos, as jogadas acontecem em função do estado da bola sendo acertada, chutada ou arremessada pelos jogadores.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Ball%2C_%E0%B4%AA%E0%B4%A8%E0%B5%8D%E0%B4%A4%E0%B5%8D.JPG/330px-Ball%2C_%E0%B4%AA%E0%B4%A8%E0%B5%8D%E0%B4%A4%E0%B5%8D.JPG,320,240,https://upload.wikimedia.org/wikipedia/commons/9/91/Ball%2C_%E0%B4%AA%E0%B4%A8%E0%B5%8D%E0%B4%A4%E0%B5%8D.JPG,3072,2304,pt,ltr,2025-11-03T23:39:39Z,objeto esférico,,"<span class=""searchmatch"">Bola</span> de futebol <span class=""searchmatch"">Bola</span> de basquetebol <span class=""searchmatch"">Bola</span> de beisebol <span class=""searchmatch"">Bola</span> de bilhar <span class=""searchmatch"">Bola</span> de críquete <span class=""searchmatch"">Bola</span> de golfe <span class=""searchmatch"">Bola</span> de hóquei sobre a grama <span class=""searchmatch"">Bola</span> de lacrosse <span class=""searchmatch"">Bola</span>",2988,282,,,bola,pt
2,Basquetebol,https://pt.wikipedia.org/wiki/Basquetebol,https://pt.wikipedia.org/wiki/Basquetebol,"O basquetebol, popularmente conhecido como basquete (português brasileiro) ou básquete (português europeu), é um esporte coletivo inventado em 1891 pelo professor de educação física canadense James Naismith, na Associação Cristã de Moços de Springfield, em Massachusetts, nos Estados Unidos. É disputado por duas equipes de 12 jogadores que têm como objetivo passar a bola por dentro de uma cesta e evitar que a bola entre na sua cesta colocada nas extremidades da quadra, seja num ginásio ou ao ar livre. Os jogadores podem caminhar na quadra, desde que driblem a cada passo dado. Também é possível executar um passe, ou seja, passar a bola em direção a um companheiro de equipe.","<p>O <b>basquetebol</b>, popularmente conhecido como <span class=""no-conversion""><b>basquete</b> <sup>(português brasileiro)</sup> ou <b>básquete</b> <sup>(português europeu)</sup></span>, é um esporte coletivo inventado em 1891 pelo professor de educação física canadense James Naismith, na Associação Cristã de Moços de Springfield, em Massachusetts, nos Estados Unidos. É disputado por duas equipes de 12 jogadores que têm como objetivo passar a bola por dentro de uma cesta e evitar que a bola entre na sua cesta colocada nas extremidades da quadra, seja num ginásio ou ao ar livre. Os jogadores podem caminhar na quadra, desde que driblem a cada passo dado. Também é possível executar um passe, ou seja, passar a bola em direção a um companheiro de equipe.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Final_33a_Lliga_Catalana_AON_2021_LF_%28Foto_Ferran_Torn%C3%A9%29_%2851462803743%29.jpg/330px-Final_33a_Lliga_Catalana_AON_2021_LF_%28Foto_Ferran_Torn%C3%A9%29_%2851462803743%29.jpg,320,213,https://upload.wikimedia.org/wikipedia/commons/2/25/Final_33a_Lliga_Catalana_AON_2021_LF_%28Foto_Ferran_Torn%C3%A9%29_%2851462803743%29.jpg,1920,1280,pt,ltr,2025-09-28T20:16:06Z,desporto coletivo jogado com uma bola de couro e duas cestas,,"basketball, (Basket = Cesto, Ball = <span class=""searchmatch"">Bola</span>, que literalmente se traduz em &quot;<span class=""searchmatch"">bola</span> de cesto&quot;, e do qual derivaria o termo &quot;<span class=""searchmatch"">Bola</span> ao Cesto&quot; para designar o desporto",36946,4891,,,bola,pt
3,Voleibol,https://pt.wikipedia.org/wiki/Voleibol,https://pt.wikipedia.org/wiki/Voleibol,"Voleibol é um esporte praticado numa quadra dividida em três partes por uma rede, possuindo duas equipes de seis jogadores em cada lado. O voleibol foi originalmente chamado de Mintonette, devido à sua semelhança com o Badminton. Ele também tem alguns elementos de tênis e handebol e até beisebol porque no conjunto de regras original havia 9 entradas com três saídas (saques). O objetivo da modalidade é fazer a bola passar sobre a rede de modo a que a bola toque no chão dentro da quadra adversária, ao mesmo tempo que se evita que os adversários consigam fazer o mesmo. O voleibol é um desporto olímpico, regulado pela Fédération Internationale de Volleyball (FIVB).","<p><b>Voleibol</b> é um esporte praticado numa quadra dividida em três partes por uma rede, possuindo duas equipes de seis jogadores em cada lado. O voleibol foi originalmente chamado de Mintonette, devido à sua semelhança com o Badminton. Ele também tem alguns elementos de tênis e handebol e até beisebol porque no conjunto de regras original havia 9 entradas com três saídas (saques). O objetivo da modalidade é fazer a bola passar sobre a <span class=""mw-disambig"">rede</span> de modo a que a bola toque no chão dentro da quadra adversária, ao mesmo tempo que se evita que os adversários consigam fazer o mesmo. O voleibol é um desporto olímpico, regulado pela Fédération Internationale de Volleyball (FIVB).</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Europei_di_pallavolo_2005_-_Italia-Russia.jpg/330px-Europei_di_pallavolo_2005_-_Italia-Russia.jpg,320,240,https://upload.wikimedia.org/wikipedia/commons/8/8c/Europei_di_pallavolo_2005_-_Italia-Russia.jpg,2000,1500,pt,ltr,2025-12-05T00:39:44Z,"jogo de bola e esporte de equipe, em que duas equipes competem para aterrar a bola no lado dos oponentes da rede",,"saídas (saques). O objetivo da modalidade é fazer a <span class=""searchmatch"">bola</span> passar sobre a rede de modo a que a <span class=""searchmatch"">bola</span> toque no chão dentro da quadra adversária, ao mesmo",36041,5094,,,bola,pt
4,Bola (humorista),https://pt.wikipedia.org/wiki/Bola_(humorista),https://pt.wikipedia.org/wiki/Bola_(humorista),"Marcos Chiesa(São Paulo, 24 de junho de 1967), mais conhecido como Bola, é um biólogo, radialista, humorista, empresário, produtor e youtuber brasileiro, que alcançou notoriedade em virtude do programa radiofônico Pânico e através dos programas televisivos Pânico na TV (RedeTV!) e Pânico na Band. Atualmente, apresenta o podcast Ticaracaticast, ao lado de Carioca Márvio Lúcio. Bola também fez transmissões do Campeonato Paulista de Futebol, através do Portal R7 e da plataforma de streaming PlayPlus.","<p><b>Marcos Chiesa</b>(São Paulo, 24 de junho de 1967), mais conhecido como <b>Bola</b>, é um biólogo, radialista, humorista, empresário, produtor e <i>youtuber</i> brasileiro, que alcançou notoriedade em virtude do programa radiofônico <i>Pânico</i> e através dos programas televisivos <i>Pânico na TV</i> (RedeTV!) e <i>Pânico na Band</i>. Atualmente, apresenta o podcast <i>Ticaracaticast,</i> ao lado de Carioca Márvio Lúcio. Bola também fez transmissões do Campeonato Paulista de Futebol, através do Portal R7 e da plataforma de streaming PlayPlus.</p>",,0,0,,0,0,pt,ltr,2025-11-06T14:02:49Z,"biólogo, empresário, produtor, radialista, humorista e youtuber brasileiro",,"Marcos Chiesa(São Paulo, 24 de junho de 1967), mais conhecido como <span class=""searchmatch"">Bola</span>, é um biólogo, radialista, humorista, empresário, produtor e youtuber brasileiro",17999,1487,,,bola,pt
5,Bola de Prata,https://pt.wikipedia.org/wiki/Bola_de_Prata,https://pt.wikipedia.org/wiki/Bola_de_Prata,"Bola de Prata é uma premiação esportiva anual que reconhece os melhores futebolistas e treinadores da Série A do Campeonato Brasileiro de Futebol de cada ano, de acordo com notas atribuídas por jornalistas ao longo de cada campeonato e estatísticas de desempenho em campo. Lançada em 1970 pela revista Placar, desde 2016 é organizada pelo canal de televisão ESPN Brasil, que oferece os troféus em cerimônia anual realizada na cidade de São Paulo. A partir de 2021, passou a premiar as melhores jogadoras do Campeonato Brasileiro de Futebol Feminino e o atleta mais engajado no combate ao racismo. É reconhecida como a premiação mais tradicional do futebol brasileiro.","<p><b>Bola de Prata</b> é uma premiação esportiva anual que reconhece os melhores futebolistas e treinadores da Série A do Campeonato Brasileiro de Futebol de cada ano, de acordo com notas atribuídas por jornalistas ao longo de cada campeonato e estatísticas de desempenho em campo. Lançada em 1970 pela revista <i>Placar</i>, desde 2016 é organizada pelo canal de televisão ESPN Brasil, que oferece os troféus em cerimônia anual realizada na cidade de São Paulo. A partir de 2021, passou a premiar as melhores jogadoras do Campeonato Brasileiro de Futebol Feminino e o atleta mais engajado no combate ao racismo. É reconhecida como a premiação mais tradicional do futebol brasileiro.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Michel_Laurence_Bola_de_Prata.jpg/330px-Michel_Laurence_Bola_de_Prata.jpg,320,350,https://upload.wikimedia.org/wikipedia/commons/c/ca/Michel_Laurence_Bola_de_Prata.jpg,1988,2176,pt,ltr,2025-12-11T15:11:58Z,premiação esportiva da revista Placar,,"do Campeonato Português, veja <span class=""searchmatch"">Bola</span> de Prata (Campeonato de Portugal). <span class=""searchmatch"">Bola</span> de Prata (atualmente promovida como ESPN <span class=""searchmatch"">Bola</span> de Prata Sportingbet) é uma premiação",142480,6339,,,bola,pt
6,Ballon d'Or 2021,https://pt.wikipedia.org/wiki/Ballon_d'Or_2021,https://pt.wikipedia.org/wiki/Ballon_d'Or_2021,"Bola de Ouro 2021 foi um evento que premiou os melhores jogadores de futebol do mundo de 2021. A premiação ocorreu no dia 29 de novembro de 2021 no Théâtre du Châtelet, em Paris. Lionel Messi foi o vencedor.","<p><b>Bola de Ouro 2021</b> foi um evento que premiou os melhores jogadores de futebol do mundo de 2021. A premiação ocorreu no dia 29 de novembro de 2021 no Théâtre du Châtelet, em Paris. Lionel Messi foi o vencedor.</p>",,0,0,,0,0,pt,ltr,2025-08-27T15:20:30Z,,,"<span class=""searchmatch"">Bola</span> de Ouro 2021 foi um evento que premiou os melhores jogadores de futebol do mundo de 2021. A premiação ocorreu no dia 29 de novembro de 2021 no Théâtre",4403,98,,,bola,pt
7,Futebol,https://pt.wikipedia.org/wiki/Futebol,https://pt.wikipedia.org/wiki/Futebol,"O futebol - originalmente futebol associado, e também referido como futebol de campo ou futebol de onze - é um esporte de equipe jogado entre dois times de 11 jogadores cada um e um árbitro que se ocupa da correta aplicação das normas. É considerado o desporto mais popular do mundo, pois cerca de 270 milhões de pessoas participam das suas várias competições. É jogado num campo retangular gramado, com uma baliza em cada lado do campo. O objetivo do jogo é deslocar uma bola através do campo para colocá-la dentro da baliza adversária, ação que se denomina gol(pt-BR) ou golo(pt-PT?). A equipe que marca mais gols ao término da partida é a vencedora.","<p>O <b>futebol</b> - originalmente <b>futebol associado</b>, e também referido como <b>futebol de campo</b> ou <b>futebol de onze</b> - é um esporte de equipe jogado entre dois times de 11 jogadores cada um e um árbitro que se ocupa da correta aplicação das normas. É considerado o desporto mais popular do mundo, pois cerca de 270 milhões de pessoas participam das suas várias competições. É jogado num campo retangular gramado, com uma baliza em cada lado do campo. O objetivo do jogo é deslocar uma bola através do campo para colocá-la dentro da baliza adversária, ação que se denomina <span class=""no-conversion"">gol<sup>(<span><abbr>pt-BR</abbr></span>)</sup> ou golo<sup>(<span><abbr>pt-PT</abbr></span><span><span style=""color:#7CFC00"">?</span></span>)</sup></span>. A equipe que marca mais gols ao término da partida é a vencedora.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Football_in_Bloomington%2C_Indiana%2C_1995.jpg/330px-Football_in_Bloomington%2C_Indiana%2C_1995.jpg,320,218,https://upload.wikimedia.org/wikipedia/commons/4/42/Football_in_Bloomington%2C_Indiana%2C_1995.jpg,3420,2328,pt,ltr,2025-10-12T17:57:24Z,desporto coletivo,,"com uma baliza em cada lado do campo. O objetivo do jogo é deslocar uma <span class=""searchmatch"">bola</span> através do campo para colocá-la dentro da baliza adversária, ação que se",150104,17148,,,bola,pt
8,A Bola,https://pt.wikipedia.org/wiki/A_Bola,https://pt.wikipedia.org/wiki/A_Bola,A Bola MHIH é um jornal desportivo português de âmbito nacional e com periodicidade diária.,<p><i><b>A Bola</b></i> <small>MHIH</small> é um jornal desportivo português de âmbito nacional e com periodicidade diária.</p>,,0,0,,0,0,pt,ltr,2024-05-10T11:34:20Z,,," Nota: Se procura o município da Galiza, veja A <span class=""searchmatch"">Bola</span> (Espanha). A <span class=""searchmatch"">Bola</span> MHIH é um jornal desportivo português de âmbito nacional e com periodicidade diária",4755,342,,,bola,pt
9,Bolão (boliche),https://pt.wikipedia.org/wiki/Bol%C3%A3o_(boliche),https://pt.wikipedia.org/wiki/Bol%C3%A3o_(boliche),"Bolão é uma modalidade esportiva, espécie primitiva de boliche, de origem germânica, onde recebeu o nome de Kegeln, composto de uma pista de madeira, bolas de arremesso feitas de madeira ou resina, e nove pinos de plástico ou madeira.","<p><b>Bolão</b> é uma modalidade esportiva, espécie primitiva de boliche, de origem germânica, onde recebeu o nome de <i><b>Kegeln</b></i>, composto de uma pista de madeira, bolas de arremesso feitas de madeira ou resina, e nove pinos de plástico ou madeira.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Kegeln-Kugel.jpg/330px-Kegeln-Kugel.jpg,320,248,https://upload.wikimedia.org/wikipedia/commons/8/8e/Kegeln-Kugel.jpg,709,550,pt,ltr,2025-07-22T02:06:15Z,desporto de precisão.,," Nota: Se procura outros significados da palavra, veja <span class=""searchmatch"">Bolão</span>. <span class=""searchmatch"">Bolão</span> (também conhecido como boliche de nove pinos ou boliche nove-pinos) é uma modalidade",4173,460,,,bola,pt
10,Ballon d'Or,https://pt.wikipedia.org/wiki/Ballon_d'Or,https://pt.wikipedia.org/wiki/Ballon_d'Or,"A Ballon d'Or ; lit. ""Bola de Ouro"") é um prêmio de futebol criado pela revista francesa France Football, sendo entregue de forma independente, entre 1956 e 2009, e novamente a partir de 2016, após fim da parceria com a Federação Internacional de Futebol (FIFA). A honraria já foi conhecida mundialmente como ""Futebolista Europeu do Ano"", por razão de que, de 1956 a 1994, apenas europeus eram laureados.","<p>A <b>Ballon d'Or</b> ; <abbr>lit.</abbr> ""<b>Bola de Ouro</b>"") é um prêmio de futebol criado pela revista francesa <i>France Football</i>, sendo entregue de forma independente, entre 1956 e 2009, e novamente a partir de 2016, após fim da parceria com a Federação Internacional de Futebol (FIFA). A honraria já foi conhecida mundialmente como ""Futebolista Europeu do Ano"", por razão de que, de 1956 a 1994, apenas europeus eram laureados.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Camp_Nou_Experience_%28Ank_Kumar%2C_INFOSYS%29_02.jpg/330px-Camp_Nou_Experience_%28Ank_Kumar%2C_INFOSYS%29_02.jpg,320,480,https://upload.wikimedia.org/wikipedia/commons/b/bc/Camp_Nou_Experience_%28Ank_Kumar%2C_INFOSYS%29_02.jpg,4000,6000,pt,ltr,2025-11-22T20:42:49Z,prêmio de futebol criado pela revista francesa France Football,,"Para a premiação brasileira, veja <span class=""searchmatch"">Bola</span> de Ouro. A Ballon d&#039;Or (pronúncia em francês: [balɔ̃ dɔʁ] (escutar); lit. &quot;<span class=""searchmatch"">Bola</span> de Ouro&quot;) é um prêmio de futebol",21483,1184,,,bola,pt
